fish,block,lake,sample_date,trap,dip_chir_lg,dip_chir_med,dip_chir_sm,dip_tiny,dip_cranefly,dip_other,dip_sim_tot,dip_culic,cole_tot,hemip_tot,trichop,ephem,data_flag
1,2,H2P,21-Jul-21,E - boulder,0,1,9,0,0,0,0,0,0,0,0,0,n
1,2,H2P,21-Jul-21,E - cobble,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,21-Jul-21,N - sand,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,21-Jul-21,S - boulder,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,21-Jul-21,S - boulder/silt,0,1,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,19-Jun-21,E-Sand/Cobble,1,10,0,0,0,0,0,0,0,1,0,1,n
0,3,H3A,19-Jun-21,N-Boulder,2,0,5,0,1,0,0,0,0,0,0,1,n
0,3,H3A,19-Jun-21,N-C/G,0,0,0,0,0,0,0,0,0,6,0,0,n
0,3,H3A,19-Jun-21,S-Cobble/Gravel,0,2,0,0,0,0,0,0,0,0,0,3,n
0,3,H3A,19-Jun-21,S-Sand,0,0,0,3,0,0,0,0,0,0,0,2,n
0,3,H3A,19-Jun-21,W-boulder,0,4,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,19-Jun-21,W-S,0,1,0,0,0,0,0,0,0,0,0,1,n
0,3,H3A,3-Jul-21,E - S/C,0,1,0,0,0,0,0,0,1,0,0,0,n
0,3,H3A,3-Jul-21,N - cobble,0,2,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,3-Jul-21,S - B/T,0,1,0,0,0,0,0,0,0,0,1,1,n
0,3,H3A,3-Jul-21,S - sand,0,0,2,0,0,0,0,0,0,0,0,0,n
0,3,H3A,3-Jul-21,W - B/C,0,0,1,0,0,0,1,0,0,0,0,0,n
0,3,H3A,19-Jul-21,E - silt/cobble,0,3,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,19-Jul-21,E - TB,0,1,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,19-Jul-21,N - cobble,0,1,0,0,0,0,0,0,0,0,1,0,n
0,3,H3A,19-Jul-21,S - boulder/cobble,0,2,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,19-Jul-21,W - boulder/cobble,0,2,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,19-Jun-21,N-boulder + cobble,0,10,1,0,0,0,0,0,1,0,0,0,n
1,3,H3P,19-Jun-21,N-cobble/sand,1,4,0,0,0,0,0,0,4,0,0,0,n
1,3,H3P,19-Jun-21,W-cobble,0,9,0,0,0,0,0,0,2,0,0,0,n
1,3,H3P,19-Jun-21,W-Cobble/Sand,0,4,8,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,E - gravel,0,0,1,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,E - S60 G40,0,0,2,0,0,0,1,0,0,0,0,0,n
1,3,H3P,3-Jul-21,N - cobble,0,4,0,0,0,1,0,0,0,0,2,0,n
1,3,H3P,3-Jul-21,N - sand,0,4,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,W - cobble,0,2,2,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,W - sand,0,0,1,0,0,0,0,0,0,0,0,0,n
1,3,H3P,19-Jul-21,E - sand/gravel,0,1,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,19-Jul-21,S - cobble,0,1,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,18-Jun-21,N-Sand/Boulder,0,0,0,1,0,0,0,0,1,0,0,2,n
0,3,H3A,3-Jul-21,N - B/C,0,0,0,0,0,0,0,3,0,0,0,0,n
0,3,H3A,3-Jul-21,E - cobble,0,0,0,0,0,1,0,0,0,0,0,0,n
0,2,H2A,18-Jun-21,E-S/G,0,0,0,1,0,0,0,0,0,0,0,1,n
0,2,H2A,18-Jun-21,S-Boulder,0,0,0,0,0,0,0,0,0,0,0,3,n
0,3,H3A,19-Jun-21,E-boulder,0,0,0,0,0,0,0,0,0,0,0,1,n
0,3,H3A,3-Jul-21,W - sand,0,0,0,0,0,0,0,0,0,0,0,1,n
1,3,H3P,19-Jun-21,S-Sand,0,0,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Jul-21,W - CT,0,0,0,0,0,0,1,0,0,0,0,0,n
0,1,H1A,5-Jul-21,E,0,0,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,N - sand,0,0,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,W - silt,0,0,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,S - G80 S20,0,0,0,0,0,0,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,S - S50 G50,0,0,0,0,0,0,0,0,0,0,0,0,n
